Debug | 2023/07/10 00:37:04.570011 | DataPoint | {"DatePerformed":"2022-04-28T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":1.01980198,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.571110 | DataPoint | {"DatePerformed":"2022-04-18T00:00:00Z","Sets":4,"Reps":4,"Effort":9.5,"Intensity":0.841584158,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.572245 | DataPoint | {"DatePerformed":"2022-04-18T00:00:00Z","Sets":1,"Reps":3,"Effort":10,"Intensity":0.98019802,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.573863 | DataPoint | {"DatePerformed":"2022-04-09T00:00:00Z","Sets":3,"Reps":6,"Effort":10,"Intensity":0.801980198,"InterExerciseFatigue":6,"InterWorkoutFatigue":6}
Debug | 2023/07/10 00:37:04.574991 | DataPoint | {"DatePerformed":"2022-04-09T00:00:00Z","Sets":1,"Reps":6,"Effort":9.5,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.576153 | DataPoint | {"DatePerformed":"2022-04-02T00:00:00Z","Sets":1,"Reps":8,"Effort":9,"Intensity":0.841584158,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.577233 | DataPoint | {"DatePerformed":"2022-04-02T00:00:00Z","Sets":3,"Reps":6,"Effort":6.5,"Intensity":0.722772277,"InterExerciseFatigue":8,"InterWorkoutFatigue":8}
Debug | 2023/07/10 00:37:04.578315 | DataPoint | {"DatePerformed":"2022-03-29T00:00:00Z","Sets":1,"Reps":10,"Effort":6,"Intensity":0.445544554,"InterExerciseFatigue":0,"InterWorkoutFatigue":36}
Debug | 2023/07/10 00:37:04.579462 | DataPoint | {"DatePerformed":"2022-03-27T00:00:00Z","Sets":2,"Reps":6,"Effort":6.5,"Intensity":0.801980198,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.580728 | DataPoint | {"DatePerformed":"2022-03-27T00:00:00Z","Sets":2,"Reps":10,"Effort":5,"Intensity":0.445544554,"InterExerciseFatigue":19,"InterWorkoutFatigue":19}
Debug | 2023/07/10 00:37:04.582063 | DataPoint | {"DatePerformed":"2022-03-27T00:00:00Z","Sets":1,"Reps":6,"Effort":5,"Intensity":0.623762376,"InterExerciseFatigue":13,"InterWorkoutFatigue":13}
Debug | 2023/07/10 00:37:04.583398 | DataPoint | {"DatePerformed":"2022-03-27T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.584715 | DataPoint | {"DatePerformed":"2022-02-18T00:00:00Z","Sets":1,"Reps":3,"Effort":9.5,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.585974 | DataPoint | {"DatePerformed":"2022-02-18T00:00:00Z","Sets":1,"Reps":2,"Effort":10,"Intensity":0.98019802,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.587036 | DataPoint | {"DatePerformed":"2022-02-16T00:00:00Z","Sets":1,"Reps":12,"Effort":8,"Intensity":0.623762376,"InterExerciseFatigue":2,"InterWorkoutFatigue":2}
Debug | 2023/07/10 00:37:04.588113 | DataPoint | {"DatePerformed":"2022-02-16T00:00:00Z","Sets":2,"Reps":1,"Effort":6,"Intensity":0.801980198,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.589334 | DataPoint | {"DatePerformed":"2022-02-11T00:00:00Z","Sets":1,"Reps":1,"Effort":9.5,"Intensity":0.98019802,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.590493 | DataPoint | {"DatePerformed":"2022-02-05T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":2}
Debug | 2023/07/10 00:37:04.591690 | DataPoint | {"DatePerformed":"2022-02-04T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.592827 | DataPoint | {"DatePerformed":"2022-02-04T00:00:00Z","Sets":1,"Reps":1,"Effort":6,"Intensity":0.722772277,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.593909 | DataPoint | {"DatePerformed":"2022-02-04T00:00:00Z","Sets":1,"Reps":1,"Effort":6,"Intensity":0.722772277,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.595184 | DataPoint | {"DatePerformed":"2022-02-04T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.596503 | DataPoint | {"DatePerformed":"2022-01-31T00:00:00Z","Sets":1,"Reps":1,"Effort":5,"Intensity":0.801980198,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.597928 | DataPoint | {"DatePerformed":"2022-01-21T00:00:00Z","Sets":1,"Reps":3,"Effort":8,"Intensity":0.821782178,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.599106 | DataPoint | {"DatePerformed":"2022-01-21T00:00:00Z","Sets":4,"Reps":4,"Effort":7,"Intensity":0.722772277,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.600443 | DataPoint | {"DatePerformed":"2022-01-17T00:00:00Z","Sets":2,"Reps":4,"Effort":8.5,"Intensity":0.801980198,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.601710 | DataPoint | {"DatePerformed":"2022-01-17T00:00:00Z","Sets":1,"Reps":3,"Effort":10,"Intensity":0.98019802,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.602973 | DataPoint | {"DatePerformed":"2022-01-07T00:00:00Z","Sets":1,"Reps":3,"Effort":9,"Intensity":0.900990099,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.604457 | DataPoint | {"DatePerformed":"2022-01-07T00:00:00Z","Sets":4,"Reps":4,"Effort":7,"Intensity":0.801980198,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.606031 | DataPoint | {"DatePerformed":"2021-12-24T00:00:00Z","Sets":4,"Reps":4,"Effort":6,"Intensity":0.742574257,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.607247 | DataPoint | {"DatePerformed":"2021-12-24T00:00:00Z","Sets":1,"Reps":3,"Effort":6,"Intensity":0.821782178,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.608337 | DataPoint | {"DatePerformed":"2021-12-17T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":0.99009901,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.609508 | DataPoint | {"DatePerformed":"2021-12-06T00:00:00Z","Sets":1,"Reps":7,"Effort":10,"Intensity":0.801980198,"InterExerciseFatigue":0,"InterWorkoutFatigue":4}
Debug | 2023/07/10 00:37:04.610586 | DataPoint | {"DatePerformed":"2021-12-06T00:00:00Z","Sets":1,"Reps":9,"Effort":10,"Intensity":0.722772277,"InterExerciseFatigue":0,"InterWorkoutFatigue":15}
Debug | 2023/07/10 00:37:04.611782 | DataPoint | {"DatePerformed":"2021-11-26T00:00:00Z","Sets":1,"Reps":1,"Effort":6,"Intensity":0.821782178,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.612859 | DataPoint | {"DatePerformed":"2021-11-26T00:00:00Z","Sets":4,"Reps":4,"Effort":6,"Intensity":0.742574257,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.614056 | DataPoint | {"DatePerformed":"2021-11-19T00:00:00Z","Sets":3,"Reps":4,"Effort":6,"Intensity":0.742574257,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.615333 | DataPoint | {"DatePerformed":"2021-11-19T00:00:00Z","Sets":1,"Reps":3,"Effort":6,"Intensity":0.821782178,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.616593 | DataPoint | {"DatePerformed":"2021-11-12T00:00:00Z","Sets":3,"Reps":7,"Effort":7,"Intensity":0.63,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.617870 | DataPoint | {"DatePerformed":"2021-11-12T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":0.99,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.619085 | DataPoint | {"DatePerformed":"2021-11-06T00:00:00Z","Sets":1,"Reps":1,"Effort":10,"Intensity":1.01,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.620659 | DataPoint | {"DatePerformed":"2021-11-01T00:00:00Z","Sets":2,"Reps":6,"Effort":7,"Intensity":0.81,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
Debug | 2023/07/10 00:37:04.621870 | DataPoint | {"DatePerformed":"2021-11-01T00:00:00Z","Sets":1,"Reps":1,"Effort":8,"Intensity":0.91,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.623288 | DataPoint | {"DatePerformed":"2021-10-29T00:00:00Z","Sets":1,"Reps":1,"Effort":9,"Intensity":0.91,"InterExerciseFatigue":0,"InterWorkoutFatigue":0}
Debug | 2023/07/10 00:37:04.624669 | DataPoint | {"DatePerformed":"2021-10-29T00:00:00Z","Sets":2,"Reps":6,"Effort":7,"Intensity":0.81,"InterExerciseFatigue":3,"InterWorkoutFatigue":3}
Debug | 2023/07/10 00:37:04.625846 | DataPoint | {"DatePerformed":"2021-10-29T00:00:00Z","Sets":2,"Reps":1,"Effort":7,"Intensity":0.81,"InterExerciseFatigue":1,"InterWorkoutFatigue":1}
