Debug | 2023/07/10 00:37:09.518563 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-04T00:00:00Z","Eps":0.5829080889127946,"Eps1":0.017454169176458256,"Eps2":0,"Eps3":-0.0010967041960433196,"Eps4":-0.0008116208551743886,"Eps5":0,"Eps6":0.009682239716027774,"Eps7":0.0034360973071706213,"TimeFrame":52,"Win":28,"Rcond":0.0000013495143565892894,"Mse":0.0009927945446525906}
Debug | 2023/07/10 00:37:09.523086 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-11T00:00:00Z","Eps":0.5494921317316409,"Eps1":0.023693068650658983,"Eps2":0,"Eps3":-0.0008462167487173333,"Eps4":-0.0011253700861058036,"Eps5":0,"Eps6":0.01210809884057451,"Eps7":0.003660326333193853,"TimeFrame":56,"Win":28,"Rcond":9.766998470972846e-7,"Mse":0.0026251607255103416}
Debug | 2023/07/10 00:37:09.529297 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-13T00:00:00Z","Eps":0.3656578686050125,"Eps1":0.06172289890039906,"Eps2":0,"Eps3":0.001422732476157762,"Eps4":-0.017691085876606394,"Eps5":0.00219974656436861,"Eps6":0.0005119060562179811,"Eps7":0,"TimeFrame":12,"Win":2,"Rcond":1.582591012695227e-8,"Mse":0.00027743658838109324}
Debug | 2023/07/10 00:37:09.531914 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-18T00:00:00Z","Eps":0.45231756728340144,"Eps1":0.05155256022434651,"Eps2":0,"Eps3":0.0012087272610781935,"Eps4":0.006279791374477872,"Eps5":0.0007206676764393571,"Eps6":0,"Eps7":0,"TimeFrame":19,"Win":5,"Rcond":3.165661296687564e-7,"Mse":0.00003175369805919578}
Debug | 2023/07/10 00:37:09.533032 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":45,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-18T00:00:00Z","Eps":0.6096570066864757,"Eps1":0.03209412281741786,"Eps2":0,"Eps3":0.003057723201227266,"Eps4":0.0296709133953037,"Eps5":0.00022282372613097873,"Eps6":0.0016893666090308512,"Eps7":0.0003603674380173727,"TimeFrame":69,"Win":16,"Rcond":2.841048560017192e-7,"Mse":2.1244671290063162e-27}
Debug | 2023/07/10 00:37:09.535305 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":28,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-20T00:00:00Z","Eps":0.9588552454919075,"Eps1":-0.005705789807461725,"Eps2":0,"Eps3":0.0000952587222355708,"Eps4":-0.07661549024577585,"Eps5":0.00017544088606039066,"Eps6":0.0027443785232962314,"Eps7":0.00459554270626733,"TimeFrame":40,"Win":7,"Rcond":0.0000018965505721802124,"Mse":0.0006564069067988017}
Debug | 2023/07/10 00:37:09.535964 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":5,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-09-20T00:00:00Z","Eps":0.6482993181174166,"Eps1":0.009214595076519672,"Eps2":0,"Eps3":-0.0007421150306121255,"Eps4":0.0025160303284119667,"Eps5":0.00028183159228570287,"Eps6":0.007337682059814554,"Eps7":0.0019480519464278867,"TimeFrame":21,"Win":3,"Rcond":1.880321520068458e-7,"Mse":6.6548429223961e-28}
Debug | 2023/07/10 00:37:09.537756 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":28,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-13T00:00:00Z","Eps":0.4790321082059048,"Eps1":0.05180462111594886,"Eps2":0,"Eps3":-0.014595569318896912,"Eps4":0.027765665321525468,"Eps5":0,"Eps6":0.0003227273957197574,"Eps7":0.0011883580908741975,"TimeFrame":45,"Win":14,"Rcond":3.1968614630607384e-7,"Mse":0.0001272590154391402}
Debug | 2023/07/10 00:37:09.539703 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":28,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-09-08T00:00:00Z","Eps":0.6545359539544009,"Eps1":0.034783609897986345,"Eps2":0,"Eps3":-0.007828159264091306,"Eps4":0.010121128310182803,"Eps5":0,"Eps6":0.00789654234211351,"Eps7":0.0028835709910656204,"TimeFrame":17,"Win":3,"Rcond":1.437703863942909e-7,"Mse":0.0000015640555118365453}
Debug | 2023/07/10 00:37:09.541832 | Optimal MS | {"Id":0,"ClientID":1,"ExerciseID":45,"PotentialSurfaceID":0,"StateGeneratorID":1,"Date":"2021-10-23T00:00:00Z","Eps":0.6235262954886167,"Eps1":0.03491119602519355,"Eps2":0,"Eps3":0.004785180555823387,"Eps4":0.021684321760124803,"Eps5":0.0003624239653710025,"Eps6":0.0030072113990518706,"Eps7":0.000011410740265338504,"TimeFrame":28,"Win":15,"Rcond":3.162942753843518e-7,"Mse":0.00015484638951150236}
